phase,domain,delta,capacity,policy,n_layer_domain_scopes,mean_residual_cold_expert_fraction,mean_expert_stall_work_reduction,mean_complete_resident_set_hit_coverage,mean_runtime_movement_experts_per_wave,mean_runtime_movement_mib_per_wave,mean_useful_movement_mib_per_wave,mean_wasted_movement_mib_per_wave,mean_useful_movement_fraction,mean_evictions_per_wave,mean_resident_replacement_fraction,mean_expert_oracle_recovery_over_lru,mean_wave_oracle_recovery_over_lru
decode,__domain_balanced__,8,16,static,32,0.6007254464285714,0.39927455357142855,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6059282938747981,-0.24705071592570257
decode,__domain_balanced__,8,16,transition,32,0.5143074156746031,0.4856925843253968,0.033544146825396824,0.7433655753968254,8.920386904761905,5.331101190476191,3.5892857142857144,0.5940796640694995,0.7433655753968254,0.046460348462301584,-0.0738835808683915,0.01884371809482763
decode,__domain_balanced__,8,32,domain,32,0.23688616071428573,0.7631138392857143,0.23071676587301587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07800704672145868,-0.11206226486557641
decode,__domain_balanced__,8,32,linear,32,0.2552625868055556,0.7447374131944444,0.23294890873015872,0.7420014880952381,8.904017857142858,6.446428571428571,2.4575892857142856,0.7202235309893636,0.7420014880952381,0.023187546502976192,-0.2591640173995696,-0.11943752026446376
decode,__domain_balanced__,8,32,lru,32,0.22616722470238096,0.7738327752976191,0.26165674603174605,0.738343253968254,8.860119047619047,6.703125,2.1569940476190474,0.7540048156276763,0.738343253968254,0.023073226686507936,0.0,0.0
decode,__domain_balanced__,8,32,oracle,32,0.11657521081349206,0.8834247891865079,0.4975198412698413,0.43421378968253965,5.210565476190476,4.956845238095238,0.2537202380952381,0.9498161851883757,0.43421378968253965,0.013569180927579364,1.0,1.0
decode,__domain_balanced__,8,32,static,32,0.33296130952380953,0.6670386904761905,0.09257192460317461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0589231526790706,-0.7416076656711634
decode,__domain_balanced__,8,32,transition,32,0.2547820560515873,0.7452179439484127,0.2097594246031746,0.6061507936507936,7.273809523809524,4.484375,2.7894345238095237,0.6101134377496892,0.6061507936507936,0.0189422123015873,-0.25680501651892224,-0.21830464611792735
decode,__domain_balanced__,9,8,domain,28,0.694984764739229,0.30501523526077096,0.0008503401360544217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029788821530808165,0.03016774891774892
decode,__domain_balanced__,9,8,linear,28,0.6747980442176871,0.32520195578231287,0.0013463718820861676,0.8657879818594105,10.389455782312925,6.045068027210884,4.344387755102041,0.5813013082632915,0.8657879818594105,0.10822349773242632,0.0869766762894867,0.08007233994076099
decode,__domain_balanced__,9,8,lru,28,0.6887489370748299,0.3112510629251701,0.0005668934240362812,0.9994331065759637,11.993197278911564,6.952380952380952,5.040816326530612,0.5796798944657663,0.9994331065759637,0.12492913832199547,0.0,0.0
decode,__domain_balanced__,9,8,oracle,28,0.5250496031746031,0.4749503968253968,0.008149092970521542,0.8741496598639455,10.489795918367347,9.856292517006803,0.6335034013605442,0.9391721294962789,0.8741496598639455,0.1092687074829932,1.0,0.8571428571428571
