capacity,lookahead,bandwidth_scale,eligible_waves,cold_demand_experts,mean_cold_experts_per_wave,available_lead_time_ms,measured_expert_transfer_ms,cold_service_headroom,cold_service_pressure,first_order_oracle_stall_reduction,candidate_transfer_amplification,required_benefit,minimum_complete_cold_set_coverage,maximum_profitable_amplification,inverse_window_exists,empty_window_reason
16,1,0.25,120165,427827,3.5603295468730494,0.6393109858036041,0.5240960121154785,0.08565468502379991,11.674784627625927,0.08565468502379991,1.0,0.25,,,False,insufficient_cold_service_headroom
16,1,0.25,120165,427827,3.5603295468730494,0.6393109858036041,0.5240960121154785,0.08565468502379991,11.674784627625927,0.08565468502379991,2.0,0.25,,,False,insufficient_cold_service_headroom
16,1,0.25,120165,427827,3.5603295468730494,0.6393109858036041,0.5240960121154785,0.08565468502379991,11.674784627625927,0.08565468502379991,4.0,0.25,,,False,speculative_traffic_gate
16,1,0.5,120165,427827,3.5603295468730494,0.6393109858036041,0.5240960121154785,0.17130937004759983,5.8373923138129635,0.17130937004759983,1.0,0.25,,,False,insufficient_cold_service_headroom
16,1,0.5,120165,427827,3.5603295468730494,0.6393109858036041,0.5240960121154785,0.17130937004759983,5.8373923138129635,0.17130937004759983,2.0,0.25,,,False,insufficient_cold_service_headroom
16,1,0.5,120165,427827,3.5603295468730494,0.6393109858036041,0.5240960121154785,0.17130937004759983,5.8373923138129635,0.17130937004759983,4.0,0.25,,,False,speculative_traffic_gate
16,1,1.0,120165,427827,3.5603295468730494,0.6393109858036041,0.5240960121154785,0.34261874009519966,2.9186961569064818,0.34261874009519966,1.0,0.25,0.25,1.3704749603807986,True,
16,1,1.0,120165,427827,3.5603295468730494,0.6393109858036041,0.5240960121154785,0.34261874009519966,2.9186961569064818,0.34261874009519966,2.0,0.25,,1.3704749603807986,False,insufficient_cold_service_headroom
16,1,1.0,120165,427827,3.5603295468730494,0.6393109858036041,0.5240960121154785,0.34261874009519966,2.9186961569064818,0.34261874009519966,4.0,0.25,,1.3704749603807986,False,speculative_traffic_gate
16,1,2.0,120165,427827,3.5603295468730494,0.6393109858036041,0.5240960121154785,0.6852374801903993,1.4593480784532409,0.6852374801903993,1.0,0.34261874009519966,0.34261874009519966,2.0,True,
16,1,2.0,120165,427827,3.5603295468730494,0.6393109858036041,0.5240960121154785,0.6852374801903993,1.4593480784532409,0.6852374801903993,2.0,0.34261874009519966,0.34261874009519966,2.0,True,
16,1,2.0,120165,427827,3.5603295468730494,0.6393109858036041,0.5240960121154785,0.6852374801903993,1.4593480784532409,0.6852374801903993,4.0,0.34261874009519966,,2.0,False,speculative_traffic_gate
16,1,4.0,120165,427827,3.5603295468730494,0.6393109858036041,0.5240960121154785,1.3704749603807986,0.7296740392266204,1.0,1.0,0.5,0.5,2.0,True,
16,1,4.0,120165,427827,3.5603295468730494,0.6393109858036041,0.5240960121154785,1.3704749603807986,0.7296740392266204,1.0,2.0,0.5,0.5,2.0,True,
16,1,4.0,120165,427827,3.5603295468730494,0.6393109858036041,0.5240960121154785,1.3704749603807986,0.7296740392266204,1.0,4.0,0.5,,2.0,False,speculative_traffic_gate
16,2,0.25,112154,391393,3.4897819070207037,1.2786219716072083,0.5240960121154785,0.1747724723455219,5.7217248607836755,0.1747724723455219,1.0,0.25,,,False,insufficient_cold_service_headroom
16,2,0.25,112154,391393,3.4897819070207037,1.2786219716072083,0.5240960121154785,0.1747724723455219,5.7217248607836755,0.1747724723455219,2.0,0.25,,,False,insufficient_cold_service_headroom
16,2,0.25,112154,391393,3.4897819070207037,1.2786219716072083,0.5240960121154785,0.1747724723455219,5.7217248607836755,0.1747724723455219,4.0,0.25,,,False,speculative_traffic_gate
16,2,0.5,112154,391393,3.4897819070207037,1.2786219716072083,0.5240960121154785,0.3495449446910438,2.8608624303918377,0.3495449446910438,1.0,0.25,0.25,1.3981797787641752,True,
16,2,0.5,112154,391393,3.4897819070207037,1.2786219716072083,0.5240960121154785,0.3495449446910438,2.8608624303918377,0.3495449446910438,2.0,0.25,,1.3981797787641752,False,insufficient_cold_service_headroom
16,2,0.5,112154,391393,3.4897819070207037,1.2786219716072083,0.5240960121154785,0.3495449446910438,2.8608624303918377,0.3495449446910438,4.0,0.25,,1.3981797787641752,False,speculative_traffic_gate
16,2,1.0,112154,391393,3.4897819070207037,1.2786219716072083,0.5240960121154785,0.6990898893820876,1.4304312151959189,0.6990898893820876,1.0,0.3495449446910438,0.3495449446910438,2.0,True,
16,2,1.0,112154,391393,3.4897819070207037,1.2786219716072083,0.5240960121154785,0.6990898893820876,1.4304312151959189,0.6990898893820876,2.0,0.3495449446910438,0.3495449446910438,2.0,True,
16,2,1.0,112154,391393,3.4897819070207037,1.2786219716072083,0.5240960121154785,0.6990898893820876,1.4304312151959189,0.6990898893820876,4.0,0.3495449446910438,,2.0,False,speculative_traffic_gate
16,2,2.0,112154,391393,3.4897819070207037,1.2786219716072083,0.5240960121154785,1.3981797787641752,0.7152156075979594,1.0,1.0,0.5,0.5,2.0,True,
16,2,2.0,112154,391393,3.4897819070207037,1.2786219716072083,0.5240960121154785,1.3981797787641752,0.7152156075979594,1.0,2.0,0.5,0.5,2.0,True,
16,2,2.0,112154,391393,3.4897819070207037,1.2786219716072083,0.5240960121154785,1.3981797787641752,0.7152156075979594,1.0,4.0,0.5,,2.0,False,speculative_traffic_gate
16,2,4.0,112154,391393,3.4897819070207037,1.2786219716072083,0.5240960121154785,2.7963595575283504,0.3576078037989797,1.0,1.0,0.5,0.5,2.0,True,
16,2,4.0,112154,391393,3.4897819070207037,1.2786219716072083,0.5240960121154785,2.7963595575283504,0.3576078037989797,1.0,2.0,0.5,0.5,2.0,True,
16,2,4.0,112154,391393,3.4897819070207037,1.2786219716072083,0.5240960121154785,2.7963595575283504,0.3576078037989797,1.0,4.0,0.5,,2.0,False,speculative_traffic_gate
