scenario_id,scope_type,scope,waves,p99_missing_routed_mass,full_fallback_wave_fraction,mass_contract_pass
ax4-local-00047,domain,math,32240,0.940677966101695,0.0057382133995037225,False
ax4-local-00047,layer_band,early,40055,1.0,0.019298464611159655,False
ax4-local-00047,layer_band,middle,40055,0.9162702188392008,0.0,False
ax4-local-00047,layer_band,late,48066,0.9377049180327869,0.0,False
ax4-local-00048,domain,code,32256,1.0,0.01029265873015873,False
ax4-local-00048,domain,conversation,31424,1.0,0.03592795315682281,False
ax4-local-00048,domain,general,32256,1.0,0.04575892857142857,False
ax4-local-00048,domain,math,32240,1.0,0.028101736972704714,False
ax4-local-00048,layer_band,early,40055,1.0,0.034702284359006366,False
ax4-local-00048,layer_band,middle,40055,1.0,0.019448258644364,False
ax4-local-00048,layer_band,late,48066,1.0,0.03482711272000999,False
ax4-local-00049,domain,code,32256,1.0,0.013578869047619048,False
ax4-local-00049,domain,conversation,31424,1.0,0.05206211812627291,False
ax4-local-00049,domain,general,32256,1.0,0.06370907738095238,False
ax4-local-00049,domain,math,32240,1.0,0.04001240694789082,False
ax4-local-00049,layer_band,early,40055,1.0,0.04244164274123081,False
ax4-local-00049,layer_band,middle,40055,1.0,0.02873548870303333,False
ax4-local-00049,layer_band,late,48066,1.0,0.05342653850954937,False
ax4-local-00050,domain,code,32256,1.0,0.018725198412698412,False
ax4-local-00050,domain,conversation,31424,1.0,0.0748790733197556,False
ax4-local-00050,domain,general,32256,1.0,0.09285094246031746,False
ax4-local-00050,domain,math,32240,1.0,0.055645161290322584,False
ax4-local-00050,layer_band,early,40055,1.0,0.054949444513793536,False
ax4-local-00050,layer_band,middle,40055,1.0,0.04309075021844963,False
ax4-local-00050,layer_band,late,48066,1.0,0.07945325177880415,False
ax4-local-00051,domain,code,32256,0.9357197844495766,0.004185267857142857,False
ax4-local-00051,domain,conversation,31424,0.9572921399363925,0.00560081466395112,False
ax4-local-00051,domain,general,32256,0.976159793814433,0.008587549603174604,False
ax4-local-00051,domain,math,32240,0.95220700152207,0.0057382133995037225,False
ax4-local-00051,layer_band,early,40055,1.0,0.019298464611159655,False
ax4-local-00051,layer_band,middle,40055,0.93682092555332,0.0,False
ax4-local-00051,layer_band,late,48066,0.9562175581132927,0.0,False
ax4-local-00052,domain,code,32256,1.0,0.023468501984126984,False
ax4-local-00052,domain,conversation,31424,1.0,0.09966904276985743,False
ax4-local-00052,domain,general,32256,1.0,0.1216827876984127,False
ax4-local-00052,domain,math,32240,1.0,0.07245657568238213,False
ax4-local-00052,layer_band,early,40055,1.0,0.06648358507052803,False
ax4-local-00052,layer_band,middle,40055,1.0,0.05906878042691299,False
ax4-local-00052,layer_band,late,48066,1.0,0.10654100611658969,False
ax4-local-00053,domain,code,32256,1.0,0.023468501984126984,False
ax4-local-00053,domain,conversation,31424,1.0,0.09966904276985743,False
ax4-local-00053,domain,general,32256,1.0,0.1216827876984127,False
ax4-local-00053,domain,math,32240,1.0,0.07245657568238213,False
ax4-local-00053,layer_band,early,40055,1.0,0.06648358507052803,False
ax4-local-00053,layer_band,middle,40055,1.0,0.05906878042691299,False
ax4-local-00053,layer_band,late,48066,1.0,0.10654100611658969,False
ax4-local-00054,domain,code,32256,1.0,0.023468501984126984,False
ax4-local-00054,domain,conversation,31424,1.0,0.09966904276985743,False
ax4-local-00054,domain,general,32256,1.0,0.1216827876984127,False
ax4-local-00054,domain,math,32240,1.0,0.07245657568238213,False
ax4-local-00054,layer_band,early,40055,1.0,0.06648358507052803,False
ax4-local-00054,layer_band,middle,40055,1.0,0.05906878042691299,False
ax4-local-00054,layer_band,late,48066,1.0,0.10654100611658969,False
ax4-local-00055,domain,code,32256,0.8902907295666483,0.004185267857142857,False
ax4-local-00055,domain,conversation,31424,0.9231523871811642,0.00560081466395112,False
ax4-local-00055,domain,general,32256,0.9431053811659192,0.008587549603174604,False
ax4-local-00055,domain,math,32240,0.9177087535296491,0.0057382133995037225,False
ax4-local-00055,layer_band,early,40055,1.0,0.019298464611159655,False
ax4-local-00055,layer_band,middle,40055,0.8348926802421575,0.0,False
ax4-local-00055,layer_band,late,48066,0.830480847595762,0.0,False
ax4-local-00056,domain,code,32256,0.8902907295666483,0.004185267857142857,False
ax4-local-00056,domain,conversation,31424,0.9231523871811642,0.00560081466395112,False
ax4-local-00056,domain,general,32256,0.9431053811659192,0.008587549603174604,False
ax4-local-00056,domain,math,32240,0.9177087535296491,0.0057382133995037225,False
