fold,training_requests,training_tokens,feature_mode,baseline,domain,delta,evaluation_tokens,selection_coverage,complete_route_coverage
2,16,256,binary,pairwise_head,ALL,1,384,0.8530061141304348,0.6084692028985508
2,16,256,binary,pairwise_head,code,2,96,0.8446969696969697,0.5762310606060606
2,16,256,binary,pairwise_head,conversation,2,96,0.7915482954545454,0.4914772727272727
2,16,256,binary,pairwise_head,general,2,96,0.9425899621212122,0.8072916666666666
2,16,256,binary,pairwise_head,math,2,96,0.7999526515151515,0.5246212121212122
2,16,256,binary,pairwise_head,ALL,2,384,0.8446969696969697,0.599905303030303
2,16,256,binary,pairwise_head,code,3,96,0.8325892857142857,0.5550595238095238
2,16,256,binary,pairwise_head,conversation,3,96,0.7738095238095238,0.46378968253968256
2,16,256,binary,pairwise_head,general,3,96,0.9283234126984127,0.7678571428571429
2,16,256,binary,pairwise_head,math,3,96,0.7800099206349206,0.4871031746031746
2,16,256,binary,pairwise_head,ALL,3,384,0.8286830357142857,0.5684523809523809
2,16,256,weighted_binary,pairwise_head,code,1,96,0.8622056159420289,0.6127717391304348
2,16,256,weighted_binary,pairwise_head,conversation,1,96,0.8093297101449275,0.5176630434782609
2,16,256,weighted_binary,pairwise_head,general,1,96,0.9513134057971014,0.8260869565217391
2,16,256,weighted_binary,pairwise_head,math,1,96,0.8228034420289855,0.5561594202898551
2,16,256,weighted_binary,pairwise_head,ALL,1,384,0.8614130434782609,0.6281702898550725
2,16,256,weighted_binary,pairwise_head,code,2,96,0.853219696969697,0.5989583333333334
2,16,256,weighted_binary,pairwise_head,conversation,2,96,0.7995975378787878,0.5056818181818182
2,16,256,weighted_binary,pairwise_head,general,2,96,0.9513494318181818,0.8319128787878788
2,16,256,weighted_binary,pairwise_head,math,2,96,0.8090672348484849,0.5402462121212122
2,16,256,weighted_binary,pairwise_head,ALL,2,384,0.8533084753787878,0.6191998106060606
2,16,256,weighted_binary,pairwise_head,code,3,96,0.8402777777777778,0.5694444444444444
2,16,256,weighted_binary,pairwise_head,conversation,3,96,0.7847222222222222,0.4751984126984127
2,16,256,weighted_binary,pairwise_head,general,3,96,0.9363839285714286,0.7872023809523809
2,16,256,weighted_binary,pairwise_head,math,3,96,0.7903025793650794,0.5104166666666666
2,16,256,weighted_binary,pairwise_head,ALL,3,384,0.837921626984127,0.5855654761904762
2,32,512,table,transition,code,1,96,0.8175951086956522,0.521286231884058
2,32,512,table,transition,conversation,1,96,0.7911005434782609,0.4750905797101449
2,32,512,table,transition,general,1,96,0.9267436594202898,0.7554347826086957
2,32,512,table,transition,math,1,96,0.8237092391304348,0.5240036231884058
2,32,512,table,transition,ALL,1,384,0.8397871376811594,0.568953804347826
2,32,512,table,transition,code,2,96,0.8117897727272727,0.5222537878787878
2,32,512,table,transition,conversation,2,96,0.7839725378787878,0.4734848484848485
2,32,512,table,transition,general,2,96,0.9276751893939394,0.7556818181818182
2,32,512,table,transition,math,2,96,0.8114346590909091,0.5132575757575758
2,32,512,table,transition,ALL,2,384,0.8337180397727273,0.5661695075757576
2,32,512,table,transition,code,3,96,0.8062996031746031,0.4965277777777778
2,32,512,table,transition,conversation,3,96,0.7698412698412699,0.44990079365079366
2,32,512,table,transition,general,3,96,0.9126984126984127,0.7212301587301587
2,32,512,table,transition,math,3,96,0.7886904761904762,0.466765873015873
2,32,512,table,transition,ALL,3,384,0.8193824404761905,0.5336061507936508
2,32,512,weighted,pairwise_head,code,1,96,0.799026268115942,0.47192028985507245
2,32,512,weighted,pairwise_head,conversation,1,96,0.7778532608695652,0.447463768115942
2,32,512,weighted,pairwise_head,general,1,96,0.9107789855072463,0.7069746376811594
2,32,512,weighted,pairwise_head,math,1,96,0.8063858695652174,0.4759963768115942
2,32,512,weighted,pairwise_head,ALL,1,384,0.8235110960144928,0.525588768115942
2,32,512,weighted,pairwise_head,code,2,96,0.7987689393939394,0.4810606060606061
2,32,512,weighted,pairwise_head,conversation,2,96,0.7781723484848485,0.4559659090909091
2,32,512,weighted,pairwise_head,general,2,96,0.9127604166666666,0.7017045454545454
2,32,512,weighted,pairwise_head,math,2,96,0.7978219696969697,0.4786931818181818
2,32,512,weighted,pairwise_head,ALL,2,384,0.8218809185606061,0.5293560606060606
2,32,512,weighted,pairwise_head,code,3,96,0.7839781746031746,0.4429563492063492
2,32,512,weighted,pairwise_head,conversation,3,96,0.7606646825396826,0.42857142857142855
2,32,512,weighted,pairwise_head,general,3,96,0.896453373015873,0.6731150793650794
2,32,512,weighted,pairwise_head,math,3,96,0.7797619047619048,0.439484126984127
2,32,512,weighted,pairwise_head,ALL,3,384,0.8052145337301587,0.49603174603174605
2,32,512,binary,pairwise_head,code,1,96,0.8531476449275363,0.5783514492753623
2,32,512,binary,pairwise_head,conversation,1,96,0.8118206521739131,0.5058876811594203
2,32,512,binary,pairwise_head,general,1,96,0.9470108695652174,0.8129528985507246
2,32,512,binary,pairwise_head,math,1,96,0.845901268115942,0.5656702898550725
2,32,512,binary,pairwise_head,ALL,1,384,0.8644701086956522,0.6157155797101449
2,32,512,binary,pairwise_head,code,2,96,0.8497869318181818,0.5866477272727273
2,32,512,binary,pairwise_head,conversation,2,96,0.8095407196969697,0.5080492424242424
2,32,512,binary,pairwise_head,general,2,96,0.9473248106060606,0.8148674242424242
2,32,512,binary,pairwise_head,math,2,96,0.8392518939393939,0.5601325757575758
2,32,512,binary,pairwise_head,ALL,2,384,0.8614760890151515,0.6174242424242424
2,32,512,binary,pairwise_head,code,3,96,0.8389136904761905,0.5649801587301587
2,32,512,binary,pairwise_head,conversation,3,96,0.7899305555555556,0.47767857142857145
2,32,512,binary,pairwise_head,general,3,96,0.9361359126984127,0.783234126984127
2,32,512,binary,pairwise_head,math,3,96,0.8169642857142857,0.5173611111111112
2,32,512,binary,pairwise_head,ALL,3,384,0.8454861111111112,0.5858134920634921
2,32,512,weighted_binary,pairwise_head,code,1,96,0.8665081521739131,0.6091485507246377
2,32,512,weighted_binary,pairwise_head,conversation,1,96,0.8228034420289855,0.5276268115942029
2,32,512,weighted_binary,pairwise_head,general,1,96,0.9553894927536232,0.8383152173913043
2,32,512,weighted_binary,pairwise_head,math,1,96,0.8560914855072463,0.5869565217391305
2,32,512,weighted_binary,pairwise_head,ALL,1,384,0.875198143115942,0.6405117753623188
2,32,512,weighted_binary,pairwise_head,code,2,96,0.8609138257575758,0.6141098484848485
2,32,512,weighted_binary,pairwise_head,conversation,2,96,0.8162878787878788,0.521780303030303
2,32,512,weighted_binary,pairwise_head,general,2,96,0.9541903409090909,0.8399621212121212
2,32,512,weighted_binary,pairwise_head,math,2,96,0.8484848484848485,0.5752840909090909
2,32,512,weighted_binary,pairwise_head,ALL,2,384,0.8699692234848485,0.6377840909090909
2,32,512,weighted_binary,pairwise_head,code,3,96,0.8466021825396826,0.5828373015873016
2,32,512,weighted_binary,pairwise_head,conversation,3,96,0.8018353174603174,0.4945436507936508
2,32,512,weighted_binary,pairwise_head,general,3,96,0.9468005952380952,0.8174603174603174
2,32,512,weighted_binary,pairwise_head,math,3,96,0.8289930555555556,0.5471230158730159
2,32,512,weighted_binary,pairwise_head,ALL,3,384,0.8560577876984127,0.6104910714285714
2,48,768,table,transition,code,1,96,0.8242753623188406,0.5335144927536232
2,48,768,table,transition,conversation,1,96,0.7907608695652174,0.4741847826086957
2,48,768,table,transition,general,1,96,0.9264039855072463,0.7509057971014492
2,48,768,table,transition,math,1,96,0.8256340579710145,0.5230978260869565
2,48,768,table,transition,ALL,1,384,0.8417685688405797,0.5704257246376812
2,48,768,table,transition,code,2,96,0.81640625,0.5241477272727273
2,48,768,table,transition,conversation,2,96,0.7879971590909091,0.47301136363636365
2,48,768,table,transition,general,2,96,0.9285037878787878,0.7518939393939394
2,48,768,table,transition,math,2,96,0.8172348484848485,0.5175189393939394
2,48,768,table,transition,ALL,2,384,0.8375355113636364,0.5666429924242424
2,48,768,table,transition,code,3,96,0.8127480158730159,0.5104166666666666
2,48,768,table,transition,conversation,3,96,0.7673611111111112,0.4489087301587302
2,48,768,table,transition,general,3,96,0.9151785714285714,0.7271825396825397
2,48,768,table,transition,math,3,96,0.7965029761904762,0.4742063492063492
2,48,768,table,transition,ALL,3,384,0.8229476686507936,0.5401785714285714
2,48,768,weighted,pairwise_head,code,1,96,0.8370697463768116,0.5498188405797102
2,48,768,weighted,pairwise_head,conversation,1,96,0.8007246376811594,0.4913949275362319
