phase,capacity,lookahead,bandwidth_scale,effective_inter_moe_layer_ms,expert_transfer_ms,eligible_waves,stalled_waves,total_demanded_experts,resident_hit_experts,cold_demand_experts,compulsory_miss_experts,capacity_miss_experts,deadline_feasible_cold_experts,late_cold_experts,total_demanded_bytes,resident_hit_bytes,cold_demand_bytes,compulsory_miss_bytes,capacity_miss_bytes,deadline_feasible_demanded_bytes,late_bytes,resident_hit_fraction,deadline_feasible_cold_fraction,late_cold_fraction,reactive_stall_ms,oracle_stall_ms,oracle_stall_reduction,oracle_wave_stall_fraction,all_trace_cold_demand_experts,all_trace_compulsory_miss_experts,all_trace_capacity_miss_experts,all_trace_demanded_experts
decode,8,9,2.0,0.6393109858036041,0.2634255110814765,56077,10150,448616,164216,284400,448,283952,244692,39708,5644895649792,2066315476992,3578580172800,5637144576,3572943028224,3078937903104,499642269696,0.3660502523316155,0.860379746835443,0.13962025316455695,74918.21535155392,9135.39217361683,0.8780618020497555,0.18100112345524902,632694,1024,631670,1025408
decode,8,12,2.0,0.6393109858036041,0.2634255110814765,32044,0,256352,93814,162538,256,162282,162538,0,3225654657024,1180453306368,2045201350656,3221225472,2041980125184,2045201350656,0,0.36595774559980027,1.0,0.0,42816.65572015408,0.0,1.0,0.0,632694,1024,631670,1025408
decode,8,15,2.0,0.6393109858036041,0.2634255110814765,8011,0,64088,21973,42115,64,42051,42115,0,806413664256,276484325376,529929338880,805306368,529124032512,529929338880,0,0.34285669704156785,1.0,0.0,11094.16539919657,0.0,1.0,0.0,632694,1024,631670,1025408
decode,16,1,0.5,0.6393109858036041,1.0454370141834826,120165,113846,961320,533493,427827,960,426867,0,427827,12096204963840,6712895471616,5383309492224,12079595520,5371229896704,0,5383309492224,0.5549588066408688,0.0,1.0,447266.18146716844,374483.18298095895,0.1627285976495232,0.9474139724545416,465071,1024,464047,1025408
decode,16,2,0.5,0.6393109858036041,1.0454370141834826,112154,103312,897232,505839,391393,896,390497,11836,379557,11289791299584,6364927623168,4924863676416,11274289152,4913589387264,148931346432,4775932329984,0.563777261622412,0.030240704355979794,0.9697592956440202,409176.72929240734,334122.9927366053,0.18342620971039358,0.9211619737147136,465071,1024,464047,1025408
decode,16,3,0.5,0.6393109858036041,1.0454370141834826,104143,94524,833144,472897,360247,832,359415,13070,347177,10483377635328,5950421336064,4532956299264,10468982784,4522487316480,164458659840,4368497639424,0.5676053599377778,0.03628066298955994,0.9637193370104401,376615.54804864095,301190.453877229,0.20027079222356103,0.9076366150389369,465071,1024,464047,1025408
decode,16,6,0.5,0.6393109858036041,1.0454370141834826,80110,63715,640880,357887,282993,640,282353,32980,250013,8064136642560,4503260626944,3560876015616,8053063680,3552822951936,414984437760,3145891577856,0.558430595431282,0.11653998508797038,0.8834600149120296,295851.35695487674,221035.04787981883,0.25288479270510467,0.795343902134565,465071,1024,464047,1025408
decode,16,9,0.5,0.6393109858036041,1.0454370141834826,56077,39781,448616,239639,208977,448,208529,47660,161317,5644895649792,3015356448768,2629539201024,5637144576,2623902056448,599701585920,2029837615104,0.534173992902616,0.22806337539537844,0.7719366246046215,218472.29091304608,144856.03044939612,0.33695925536364646,0.7093995755835726,465071,1024,464047,1025408
decode,16,12,0.5,0.6393109858036041,1.0454370141834826,32044,14782,256352,139197,117155,256,116899,55703,61452,3225654657024,1751503601664,1474151055360,3221225472,1470929829888,700905947136,773245108224,0.542991667706903,0.4754641287183646,0.5245358712816355,122478.17339667522,53949.67107728965,0.5595160379918422,0.4613032080888778,465071,1024,464047,1025408
decode,16,15,0.5,0.6393109858036041,1.0454370141834826,8011,0,64088,34090,29998,64,29934,29998,0,806413664256,428951470080,377462194176,805306368,376656887808,377462194176,0,0.5319248533266758,1.0,0.0,31361.01955147672,0.0,1.0,0.0,465071,1024,464047,1025408
