baseline,candidate_count,candidate_amplification,delta,layer_pairs,requests,forecasts_per_request,bootstrap_resamples,confidence_level,selection_coverage,selection_coverage_ci_low,selection_coverage_ci_high,routed_mass_coverage,routed_mass_coverage_ci_low,routed_mass_coverage_ci_high,complete_route_coverage,complete_route_coverage_ci_low,complete_route_coverage_ci_high
learned,16,4.0,4,20,64,320,5000,0.95,0.9720458984375,0.9696896362304688,0.97435302734375,0.9768699901178479,0.9747304227435961,0.9789063307922333,0.9013671875,0.893896484375,0.908740234375
learned,16,4.0,5,19,64,304,5000,0.95,0.9694181743421053,0.9669253700657895,0.9717185572574014,0.9745533540844917,0.9722301717149093,0.9767860001884401,0.8939658717105263,0.8862034847861842,0.9012643914473684
learned,16,4.0,6,18,64,288,5000,0.95,0.9693739149305555,0.9665523952907985,0.9722768147786458,0.974087848328054,0.9712859155377374,0.9767433403991163,0.8954535590277777,0.8870429144965277,0.9039727105034723
learned,16,4.0,7,17,64,272,5000,0.95,0.9705451516544117,0.9675002154181985,0.9733455882352942,0.9751690439879894,0.9723370049381629,0.9777539988281205,0.8987821691176471,0.8897633272058824,0.9072854434742648
learned,16,4.0,8,16,64,256,5000,0.95,0.968719482421875,0.965576171875,0.9716033935546875,0.9732964038848877,0.9705371841788292,0.9759305335581303,0.8946533203125,0.8863525390625,0.902587890625
learned,16,4.0,9,15,64,240,5000,0.95,0.9673177083333333,0.9640624999999999,0.970443115234375,0.9722699485719204,0.9691908969078213,0.9752796214073897,0.888671875,0.8794270833333334,0.8978515625
learned,16,4.0,10,14,64,224,5000,0.95,0.9642508370535715,0.9603092738560268,0.9677738734654018,0.9696771753951907,0.9660001373384148,0.9729611355578527,0.8819754464285714,0.8718610491071428,0.8918805803571428
learned,16,4.0,11,13,64,208,5000,0.95,0.9647874098557692,0.9609562800480771,0.9681114783653846,0.970267808996141,0.9668298242148012,0.9734403129201382,0.8829627403846154,0.8731219951923077,0.8925030048076923
learned,16,4.0,12,12,64,192,5000,0.95,0.96441650390625,0.9601028442382812,0.9683430989583334,0.9701360464096069,0.966319764778018,0.9736884249607101,0.883056640625,0.871661376953125,0.89404296875
learned,16,4.0,13,11,64,176,5000,0.95,0.9643110795454546,0.960137939453125,0.9680619673295454,0.9696530001237988,0.965680558164604,0.9731840437743813,0.8831676136363635,0.8716242009943181,0.8937344637784091
