request_id,sample_id,domain,phase,baseline,delta,layer_pairs,candidate_count,candidate_amplification,forecasts,selection_coverage,routed_mass_coverage,complete_route_coverage
9,gsm8k-00047,math,decode,learned,16,8,4,1.0,128,0.6875,0.7139663696289062,0.265625
9,gsm8k-00047,math,decode,learned,17,7,4,1.0,112,0.6919642857142857,0.7238594889640808,0.30357142857142855
9,gsm8k-00047,math,decode,learned,18,6,4,1.0,96,0.7057291666666666,0.7279459834098816,0.3125
9,gsm8k-00047,math,decode,learned,19,5,4,1.0,80,0.70625,0.733905017375946,0.325
9,gsm8k-00047,math,decode,learned,20,4,4,1.0,64,0.7421875,0.7634506225585938,0.390625
9,gsm8k-00047,math,decode,learned,21,3,4,1.0,48,0.7239583333333334,0.760467529296875,0.2916666666666667
9,gsm8k-00047,math,decode,learned,22,2,4,1.0,32,0.75,0.783447265625,0.34375
9,gsm8k-00047,math,decode,learned,23,1,4,1.0,16,0.75,0.775909423828125,0.25
10,mt_bench-50530142,conversation,decode,learned,1,23,4,1.0,368,0.6684782608695652,0.7118755578994751,0.18478260869565216
10,mt_bench-50530142,conversation,decode,learned,2,22,4,1.0,352,0.6463068181818182,0.6972795128822327,0.20454545454545456
10,mt_bench-50530142,conversation,decode,learned,3,21,4,1.0,336,0.6242559523809523,0.6645914912223816,0.16666666666666666
10,mt_bench-50530142,conversation,decode,learned,4,20,4,1.0,320,0.5921875,0.6274994015693665,0.165625
10,mt_bench-50530142,conversation,decode,learned,5,19,4,1.0,304,0.5904605263157895,0.6314857602119446,0.14802631578947367
10,mt_bench-50530142,conversation,decode,learned,6,18,4,1.0,288,0.5703125,0.6101481318473816,0.14930555555555555
10,mt_bench-50530142,conversation,decode,learned,7,17,4,1.0,272,0.5615808823529411,0.6016343235969543,0.17279411764705882
10,mt_bench-50530142,conversation,decode,learned,8,16,4,1.0,256,0.5546875,0.5919075012207031,0.16015625
10,mt_bench-50530142,conversation,decode,learned,9,15,4,1.0,240,0.5416666666666666,0.5787068605422974,0.14166666666666666
10,mt_bench-50530142,conversation,decode,learned,10,14,4,1.0,224,0.5267857142857143,0.5680977702140808,0.12946428571428573
10,mt_bench-50530142,conversation,decode,learned,11,13,4,1.0,208,0.5252403846153846,0.5587087869644165,0.1201923076923077
10,mt_bench-50530142,conversation,decode,learned,12,12,4,1.0,192,0.5026041666666666,0.5369059443473816,0.13020833333333334
10,mt_bench-50530142,conversation,decode,learned,13,11,4,1.0,176,0.4900568181818182,0.5245860815048218,0.10795454545454546
10,mt_bench-50530142,conversation,decode,learned,14,10,4,1.0,160,0.484375,0.516589343547821,0.125
10,mt_bench-50530142,conversation,decode,learned,15,9,4,1.0,144,0.46875,0.5088670253753662,0.09722222222222222
10,mt_bench-50530142,conversation,decode,learned,16,8,4,1.0,128,0.46875,0.50018310546875,0.1328125
