phase,resident_capacity,lookahead,policy,candidate_class,bin_left,bin_right,bin_center,count,density
decode,32,3,linear,useful_cold,-0.5124999999999997,-0.3999999999999999,-0.4562499999999998,456,0.09276423694549353
decode,32,3,linear,useful_cold,-0.3999999999999999,-0.2875000000000001,-0.34375,545,0.11086953757739908
decode,32,3,linear,useful_cold,-0.2875000000000001,-0.17499999999999982,-0.23124999999999996,625,0.12714396511169568
decode,32,3,linear,useful_cold,-0.17499999999999982,-0.0625,-0.11874999999999991,761,0.15481049192000126
decode,32,3,linear,useful_cold,-0.0625,0.04999999999999982,-0.006250000000000089,885,0.1800358545981618
decode,32,3,linear,useful_cold,0.04999999999999982,0.16250000000000053,0.10625000000000018,1013,0.20607493865303553
decode,32,3,linear,useful_cold,0.16250000000000053,0.27500000000000036,0.21875000000000044,1138,0.2315037316753764
decode,32,3,linear,useful_cold,0.27500000000000036,0.3875000000000002,0.33125000000000027,1267,0.25774624607443053
decode,32,3,linear,useful_cold,0.3875000000000002,0.5,0.4437500000000001,1416,0.2880573673570589
decode,32,3,linear,useful_cold,0.5,0.6124999999999998,0.5562499999999999,1537,0.31267243900268327
decode,32,3,linear,useful_cold,0.6124999999999998,0.7250000000000005,0.6687500000000002,1648,0.33525320720651786
decode,32,3,linear,useful_cold,0.7250000000000005,0.8375000000000004,0.7812500000000004,1845,0.3753289850097271
decode,32,3,linear,useful_cold,0.8375000000000004,0.9500000000000002,0.8937500000000003,1925,0.39160341254402425
decode,32,3,linear,useful_cold,0.9500000000000002,1.0625,1.00625,2014,0.4097087131759298
decode,32,3,linear,useful_cold,1.0625,1.1749999999999998,1.11875,2070,0.42110081244993774
decode,32,3,linear,useful_cold,1.1749999999999998,1.2875000000000005,1.2312500000000002,2075,0.422117964170828
decode,32,3,linear,useful_cold,1.2875000000000005,1.4000000000000004,1.3437500000000004,2142,0.43574779723080515
decode,32,3,linear,useful_cold,1.4000000000000004,1.5125000000000002,1.4562500000000003,2134,0.43412035447737546
decode,32,3,linear,useful_cold,1.5125000000000002,1.625,1.56875,2115,0.4302551779379799
decode,32,3,linear,useful_cold,1.625,1.7374999999999998,1.68125,1987,0.40421609388310453
decode,32,3,linear,useful_cold,1.7374999999999998,1.8500000000000005,1.7937500000000002,1890,0.3844833504977662
decode,32,3,linear,useful_cold,1.8500000000000005,1.9625000000000004,1.9062500000000004,1813,0.3688192139960083
decode,32,3,linear,useful_cold,1.9625000000000004,2.075,2.0187500000000003,1606,0.32670913275101454
decode,32,3,linear,useful_cold,2.075,2.1875,2.13125,1574,0.3201993617372957
decode,32,3,linear,useful_cold,2.1875,2.3,2.24375,1324,0.2693417756926172
decode,32,3,linear,useful_cold,2.3,2.4125000000000005,2.35625,1102,0.22418023928494094
decode,32,3,linear,useful_cold,2.4125000000000005,2.5250000000000004,2.4687500000000004,846,0.17210207117519197
decode,32,3,linear,useful_cold,2.5250000000000004,2.6375,2.5812500000000003,636,0.12938169889766205
decode,32,3,linear,useful_cold,2.6375,2.75,2.69375,519,0.10558034862875251
decode,32,3,linear,useful_cold,2.75,2.8625,2.80625,386,0.07852411285298357
decode,32,3,linear,useful_cold,2.8625,2.9750000000000005,2.91875,313,0.06367369772793695
decode,32,3,linear,useful_cold,2.9750000000000005,3.0875000000000004,3.0312500000000004,197,0.04007577780320664
decode,32,3,linear,useful_cold,3.0875000000000004,3.2,3.1437500000000003,143,0.029090539217556086
decode,32,3,linear,useful_cold,3.2,3.3125,3.25625,87,0.017698439943548108
decode,32,3,linear,useful_cold,3.3125,3.425,3.36875,47,0.009561226176399554
decode,32,3,linear,useful_cold,3.425,3.5375000000000005,3.48125,37,0.007526922734612355
decode,32,3,linear,useful_cold,3.5375000000000005,3.6500000000000004,3.5937500000000004,24,0.004882328260289133
decode,32,3,linear,useful_cold,3.6500000000000004,3.7625,3.7062500000000003,11,0.0022377337859658527
decode,32,3,linear,useful_cold,3.7625,3.875,3.81875,7,0.0014240124092509973
decode,32,3,linear,useful_cold,3.875,3.9875,3.93125,6,0.0012205820650722833
decode,32,3,linear,useful_cold,3.9875,4.1,4.043749999999999,3,0.0006102910325361416
decode,32,3,linear,useful_cold,4.1,4.2125,4.15625,0,0.0
decode,32,3,linear,useful_cold,4.2125,4.325000000000001,4.268750000000001,0,0.0
decode,32,3,linear,useful_cold,4.325000000000001,4.4375,4.3812500000000005,0,0.0
decode,32,3,linear,useful_cold,4.4375,4.550000000000001,4.49375,0,0.0
decode,32,3,linear,useful_cold,4.550000000000001,4.6625,4.60625,0,0.0
decode,32,3,linear,useful_cold,4.6625,4.775,4.71875,0,0.0
decode,32,3,linear,useful_cold,4.775,4.887500000000001,4.831250000000001,0,0.0
decode,32,3,linear,useful_cold,4.887500000000001,5.0,4.9437500000000005,0,0.0
decode,32,3,linear,useless,-4.0,-3.8875,-3.94375,2,3.2170102634691245e-05
decode,32,3,linear,useless,-3.8875,-3.775,-3.83125,1,1.6085051317345558e-05
decode,32,3,linear,useless,-3.775,-3.6625,-3.71875,3,4.825515395203687e-05
decode,32,3,linear,useless,-3.6625,-3.55,-3.60625,8,0.00012868041053876446
decode,32,3,linear,useless,-3.55,-3.4375,-3.49375,11,0.00017693556449080184
decode,32,3,linear,useless,-3.4375,-3.325,-3.38125,19,0.0003056159750295668
decode,32,3,linear,useless,-3.325,-3.2125,-3.26875,28,0.00045038143688567566
decode,32,3,linear,useless,-3.2125,-3.1,-3.15625,44,0.0007077422579632074
decode,32,3,linear,useless,-3.1,-2.9875,-3.04375,75,0.0012063788488009168
decode,32,3,linear,useless,-2.9875,-2.875,-2.93125,109,0.0017532705935906728
decode,32,3,linear,useless,-2.875,-2.7625,-2.81875,183,0.002943564391074249
decode,32,3,linear,useless,-2.7625,-2.65,-2.70625,294,0.004729005087299594
decode,32,3,linear,useless,-2.65,-2.5374999999999996,-2.59375,405,0.006514445783524951
decode,32,3,linear,useless,-2.5374999999999996,-2.425,-2.4812499999999997,652,0.010487453458909345
decode,32,3,linear,useless,-2.425,-2.3125,-2.36875,962,0.01547381936728649
decode,32,3,linear,useless,-2.3125,-2.2,-2.25625,1310,0.021071417225722765
decode,32,3,linear,useless,-2.2,-2.0875,-2.14375,1772,0.02850271093433633
decode,32,3,linear,useless,-2.0875,-1.975,-2.03125,2391,0.038459357699773385
decode,32,3,linear,useless,-1.975,-1.8624999999999998,-1.91875,3229,0.051938630703708806
decode,32,3,linear,useless,-1.8624999999999998,-1.75,-1.80625,4359,0.07011473869230957
decode,32,3,linear,useless,-1.75,-1.6374999999999997,-1.6937499999999999,5674,0.0912665811746187
decode,32,3,linear,useless,-1.6374999999999997,-1.525,-1.5812499999999998,7314,0.11764606533506589
decode,32,3,linear,useless,-1.525,-1.4125,-1.46875,9264,0.14901191540388986
