phase,delta,candidate_count,baseline,requests,domains,selection_coverage,candidate_precision,routed_mass_coverage,complete_route_coverage,candidate_amplification,candidate_set_fraction,useful_candidate_amplification,brier_score
prefill,3,4,learned,32,4,0.4566286087958299,0.4566286087958299,0.4902876762019303,0.045459811220332665,1.0,0.125,2.20252646106824,0.08658336714421089
prefill,3,4,source_copy,32,4,0.11912871539181044,0.11912871539181044,0.11877342704550706,4.41363055300919e-05,1.0,0.125,8.40649543459823,
prefill,3,4,transition,32,4,0.5641691012945329,0.5641691012945329,0.6061197767518403,0.07747837459499865,1.0,0.125,1.7758155028408358,
prefill,3,8,domain_static,32,4,0.6491554569049349,0.32457772845246746,0.6774546282229328,0.19892346714372516,2.0,0.25,3.0883169467191602,
prefill,3,8,global_static,32,4,0.6198258084933592,0.3099129042466796,0.6463914721046615,0.17624007499669514,2.0,0.25,3.2428591832877998,
prefill,3,8,learned,32,4,0.6613269910226858,0.3306634955113429,0.6885927120967738,0.2240793428897878,2.0,0.25,3.037543468977493,0.08658336714421089
prefill,3,8,source_copy,32,4,0.5231975904479556,0.2615987952239778,0.5488823265193383,0.07885654170238737,2.0,0.25,3.8408798719023602,
prefill,3,8,transition,32,4,0.7887805542734019,0.39439027713670094,0.8131574572803182,0.4124251474922186,2.0,0.25,2.5384742908929105,
prefill,3,12,domain_static,32,4,0.7820221320600346,0.2606740440200115,0.8060319219097214,0.39848807526511043,3.0,0.375,3.841746451498227,
prefill,3,12,global_static,32,4,0.7516850300740081,0.250561676691336,0.7757971885582776,0.35766377324881343,3.0,0.375,4.007749462805182,
prefill,3,12,learned,32,4,0.7834807217678168,0.2611602405892723,0.8052349996014071,0.41279813528621767,3.0,0.375,3.8397325048063764,0.08658336714421089
prefill,3,12,source_copy,32,4,0.7037619014491556,0.2345873004830519,0.725389546227778,0.2780084035393477,3.0,0.375,4.277404798542465,
prefill,3,12,transition,32,4,0.8938179329433917,0.2979393109811306,0.9088172798142635,0.6575834772627059,3.0,0.375,3.358281609620633,
prefill,3,16,domain_static,32,4,0.87526645934902,0.218816614837255,0.892075004477241,0.6108121014195595,4.0,0.5,4.574211658001019,
prefill,3,16,global_static,32,4,0.846120217974742,0.2115300544936855,0.8634914458995258,0.5409000112430502,4.0,0.5,4.73940419712908,
