phase,delta,score_threshold,selection_coverage,candidate_precision,routed_mass_coverage,complete_route_coverage,mean_candidate_count,candidate_amplification,candidate_set_fraction
decode,1,0.1,0.8045388926630435,0.23789553700596008,0.8210354265959366,0.4921875,13.533118206521738,3.3832795516304346,0.4229099439538043
decode,2,0.1,0.8125887784090908,0.2468213906937904,0.8277560580860484,0.5025745738636365,13.1728515625,3.293212890625,0.411651611328125
decode,3,0.1,0.8227074032738095,0.24623040834808052,0.8369161515008836,0.5280877976190477,13.371744791666668,3.342936197916667,0.41786702473958337
decode,4,0.1,0.816162109375,0.24913983945768098,0.8295167922973632,0.509765625,13.108789062499998,3.2771972656249995,0.40964965820312493
decode,5,0.1,0.8122944078947368,0.24804255506021994,0.825440808346397,0.511204769736842,13.107627467105264,3.276906866776316,0.4096133583470395
decode,6,0.1,0.817138671875,0.24652227404981858,0.831458462609185,0.523654513888889,13.260416666666668,3.315104166666667,0.41438802083333337
decode,7,0.1,0.8122702205882353,0.25060587053856564,0.8265668083639706,0.5082720588235294,12.971507352941176,3.242876838235294,0.40535960477941174
decode,8,0.1,0.817901611328125,0.25487639080120295,0.8323272466659546,0.5330810546875,12.8399658203125,3.209991455078125,0.4012489318847656
decode,9,0.1,0.8307942708333333,0.2545223857622974,0.8451867421468098,0.545703125,13.059114583333335,3.2647786458333337,0.4080973307291667
decode,10,0.1,0.8352748325892858,0.24790508684313034,0.851135390145438,0.5657087053571428,13.482003348214285,3.370500837053571,0.4213126046316964
decode,11,0.1,0.833721454326923,0.24340331773923485,0.8467571551983173,0.5603966346153846,13.70643028846154,3.426607572115385,0.42832594651442313
decode,12,0.1,0.8351236979166667,0.2452163032513549,0.8482813835144043,0.56494140625,13.62353515625,3.4058837890625,0.4257354736328125
decode,13,0.1,0.8363370028409092,0.23827613281878574,0.8501685749400746,0.5690696022727273,14.03533380681818,3.508833451704545,0.4386041814630681
decode,14,0.1,0.832666015625,0.2368375987985104,0.8445138931274414,0.569921875,14.058203124999999,3.5145507812499996,0.43931884765624996
decode,15,0.1,0.8291015625,0.24097146806587608,0.8408070670233833,0.5490451388888888,13.764105902777779,3.4410264756944446,0.4301283094618056
decode,16,0.1,0.81256103515625,0.23979247901488282,0.8207859992980957,0.52490234375,13.556884765625,3.38922119140625,0.42365264892578125
decode,17,0.1,0.8381696428571428,0.2370854159967274,0.847416877746582,0.5845424107142857,14.139508928571427,3.5348772321428568,0.4418596540178571
decode,18,0.1,0.8418782552083333,0.23629235327918202,0.8493296305338542,0.607421875,14.2529296875,3.563232421875,0.445404052734375
decode,19,0.1,0.836328125,0.24293008666336433,0.8495418548583984,0.58671875,13.77421875,3.4435546875,0.4304443359375
decode,20,0.1,0.8275146484375,0.2406061832695149,0.8400669097900391,0.57275390625,13.767578125,3.44189453125,0.43023681640625
decode,21,0.1,0.8365885416666667,0.2379086139816502,0.8550802866617839,0.5950520833333334,14.065755208333336,3.516438802083334,0.43955485026041674
decode,22,0.1,0.833984375,0.23806296594617268,0.8472466468811035,0.5537109375,14.00390625,3.5009765625,0.4376220703125
decode,23,0.1,0.82421875,0.22835883358178144,0.8281745910644531,0.517578125,14.435546875,3.60888671875,0.45111083984375
prefill,1,0.1,0.8111727879565076,0.24391666460318442,0.8325347488841481,0.46305605144971484,13.305715712542513,3.3264289281356283,0.41580361601695354
prefill,2,0.1,0.8139683160946548,0.2503903715945629,0.8340283922864271,0.4677308724543842,13.007281655785924,3.251820413946481,0.40647755174331013
prefill,3,0.1,0.8126365694570714,0.25188260474507007,0.8324915603288008,0.47019216956471716,12.908639576952977,3.2271598942382442,0.40339498677978053
prefill,4,0.1,0.8143579650478121,0.2532686173531408,0.8341989748536631,0.47392921185170694,12.864947230562809,3.216236807640702,0.4020296009550878
prefill,5,0.1,0.8107292696668091,0.25478272557762016,0.8306138743808802,0.4657333128399703,12.730320935055122,3.1825802337637805,0.39782252922047256
prefill,6,0.1,0.8131395572826221,0.2564584624707956,0.8327977322164581,0.4746680940431999,12.68476146785662,3.171190366964155,0.39639879587051935
prefill,7,0.1,0.8134613481018598,0.2589879487224912,0.8330625704270793,0.47678585056035594,12.568266983247145,3.1420667458117864,0.3927583432264733
prefill,8,0.1,0.8179490778619548,0.2649842251928132,0.8369322102262339,0.4855565913079995,12.351820686576922,3.0879551716442304,0.3859943964555288
prefill,9,0.1,0.8209715550039512,0.2667348895216496,0.8389578736045195,0.49568291609189236,12.313792371781279,3.0784480929453197,0.38480601161816497
prefill,10,0.1,0.8226461094214468,0.2687725426307712,0.8407217955463273,0.49640695722941475,12.245851491079947,3.0614628727699866,0.38268285909624833
prefill,11,0.1,0.816366958734233,0.2729493776671774,0.8336523322442486,0.4863253174988493,11.96656979469307,2.9916424486732676,0.37395530608415845
prefill,12,0.1,0.8197362406153912,0.27631459271240916,0.8376283842562504,0.49856769181424626,11.868173364886577,2.967043341221644,0.3708804176527055
