train_checkpoint,eval_checkpoint,phase,domain,source_layer,target_layer,delta,capacity,n_tokens,routing_top_k,selection_coverage,complete_token_coverage,candidate_amplification,useful_amplification,mean_candidate_replacement_fraction,mean_candidate_jaccard
instruct,base,prefill,math,10,15,5,8,516,8,0.5155038759689923,0.0,1.0,1.9398496240601504,0.6446601941747573,0.2583582544747582
instruct,base,prefill,math,10,15,5,16,516,8,0.7298934108527132,0.11046511627906977,2.0,2.740126120146034,0.5075242718446602,0.3635247285631359
instruct,base,prefill,math,10,15,5,32,516,8,0.9265988372093024,0.6007751937984496,4.0,4.316862745098039,0.32760922330097086,0.5280062563918253
instruct,base,prefill,math,11,12,1,8,516,8,0.6140988372093024,0.01744186046511628,1.0,1.6284023668639054,0.6281553398058253,0.26936330120796037
instruct,base,prefill,math,11,12,1,16,516,8,0.8553779069767442,0.3081395348837209,2.0,2.3381478334749364,0.5077669902912622,0.3569822163773726
instruct,base,prefill,math,11,12,1,32,516,8,0.9653585271317829,0.7965116279069767,4.0,4.143538268506901,0.3170509708737864,0.5349860563041676
instruct,base,prefill,math,11,13,2,8,516,8,0.625,0.001937984496124031,1.0,1.6,0.6567961165048544,0.2525793085016374
instruct,base,prefill,math,11,13,2,16,516,8,0.8093507751937985,0.19573643410852712,2.0,2.4711164322059265,0.5032766990291262,0.36101206531779984
instruct,base,prefill,math,11,13,2,32,516,8,0.9503391472868217,0.6802325581395349,4.0,4.209023706347184,0.29939320388349516,0.5561583885016721
instruct,base,prefill,math,11,14,3,8,516,8,0.6114341085271318,0.029069767441860465,1.0,1.635499207606973,0.7342233009708737,0.20023402703014306
instruct,base,prefill,math,11,14,3,16,516,8,0.8173449612403101,0.25193798449612403,2.0,2.4469472436277417,0.5553398058252427,0.3234192269876956
instruct,base,prefill,math,11,14,3,32,516,8,0.9629360465116279,0.7848837209302325,4.0,4.153962264150944,0.3133495145631068,0.5394995806960621
instruct,base,prefill,math,11,15,4,8,516,8,0.5450581395348837,0.0,1.0,1.8346666666666667,0.6189320388349514,0.2783931925679486
instruct,base,prefill,math,11,15,4,16,516,8,0.7531492248062015,0.1375968992248062,2.0,2.655516243165005,0.4945388349514563,0.3720548125390988
