checkpoint,phase,domain,source_layer,target_layer,delta,capacity,transition_selection_coverage,static_selection_coverage,selection_gain_over_static,transition_complete_coverage,static_complete_coverage,complete_gain_over_static
base,prefill,math,0,13,13,8,0.2936046511627907,0.19525193798449614,0.09835271317829458,0.0,0.0,0.0
base,prefill,math,0,13,13,16,0.45033914728682173,0.36143410852713176,0.08890503875968997,0.005813953488372093,0.001937984496124031,0.003875968992248062
base,prefill,math,0,13,13,32,0.7611434108527132,0.6698158914728682,0.09132751937984496,0.1821705426356589,0.08527131782945736,0.09689922480620154
base,prefill,math,0,14,14,8,0.22141472868217055,0.1378391472868217,0.08357558139534885,0.0,0.0,0.0
base,prefill,math,0,14,14,16,0.43459302325581395,0.28367248062015504,0.1509205426356589,0.025193798449612403,0.0,0.025193798449612403
base,prefill,math,0,14,14,32,0.7357073643410853,0.6201550387596899,0.11555232558139539,0.1686046511627907,0.025193798449612403,0.1434108527131783
base,prefill,math,0,15,15,8,0.25799418604651164,0.19113372093023256,0.06686046511627908,0.0,0.0,0.0
base,prefill,math,0,15,15,16,0.45542635658914726,0.34568798449612403,0.10973837209302323,0.01744186046511628,0.0,0.01744186046511628
base,prefill,math,0,15,15,32,0.7051841085271318,0.6111918604651163,0.09399224806201545,0.0872093023255814,0.011627906976744186,0.0755813953488372
base,prefill,__domain_balanced__,0,1,1,8,0.36019222854104166,0.21226282533017968,0.14792940321086198,0.0,0.0,0.0
base,prefill,__domain_balanced__,0,1,1,16,0.5696669321757074,0.36125096232015336,0.20841596985555405,0.03989524310862743,0.0005938242280285036,0.03930141888059893
base,prefill,__domain_balanced__,0,1,1,32,0.7784682616754148,0.640562231387193,0.13790603028822185,0.20813106619632377,0.05423133050084475,0.153899735695479
base,prefill,__domain_balanced__,0,2,2,8,0.30790581546326007,0.18317345764810508,0.12473235781515499,0.0,0.0,0.0
base,prefill,__domain_balanced__,0,2,2,16,0.489800442869784,0.31974450953671274,0.17005593333307129,0.0220756695708293,0.0,0.0220756695708293
base,prefill,__domain_balanced__,0,2,2,32,0.7421656902592471,0.5910875661652549,0.15107812409399213,0.16035919839642637,0.052494371555031165,0.1078648268413952
