phase,domain,delta,capacity,baseline,n_scopes,mean_selection_coverage,mean_complete_token_coverage,mean_candidate_amplification,mean_useful_amplification,mean_candidate_replacement_fraction
decode,__domain_balanced__,12,8,linear,16,0.5166945684523809,0.027777777777777776,1.0,1.9791978576299147,0.6577565854870775
decode,__domain_balanced__,12,8,static,16,0.21606832837301587,0.0,1.0,6.2282429871775635,0.0
decode,__domain_balanced__,12,8,transition,16,0.43298921130952384,0.006200396825396825,1.0,2.399977522629034,0.44257890159045726
decode,__domain_balanced__,12,16,domain_oracle,16,0.49462115575396826,0.04451884920634921,2.0,4.25436433313036,0.0
decode,__domain_balanced__,12,16,linear,16,0.7198815724206349,0.21850198412698413,2.0,2.8045328906855618,0.5526373011928429
decode,__domain_balanced__,12,16,static,16,0.3816499255952381,0.008432539682539682,2.0,5.6609877586674004,0.0
decode,__domain_balanced__,12,16,transition,16,0.6278056795634921,0.0992063492063492,2.0,3.253029411276014,0.3681194085487077
decode,__domain_balanced__,12,32,domain_oracle,16,0.7638268849206349,0.24206349206349206,4.0,5.290235436815662,0.0
decode,__domain_balanced__,12,32,linear,16,0.8904389880952381,0.5432787698412699,4.0,4.499802887052325,0.3807584182405567
decode,__domain_balanced__,12,32,static,16,0.6551804315476191,0.09250992063492064,4.0,6.165558208611586,0.0
decode,__domain_balanced__,12,32,transition,16,0.8335038442460317,0.36681547619047616,4.0,4.823108743292879,0.2315404448310139
decode,__domain_balanced__,13,8,domain_oracle,12,0.2935887896825397,0.0018187830687830687,1.0,3.883513941778549,0.0
decode,__domain_balanced__,13,8,linear,12,0.4998553240740741,0.023809523809523808,1.0,2.0434916102075333,0.6711812458581843
decode,__domain_balanced__,13,8,static,12,0.20975942460317462,0.0,1.0,6.646745620067192,0.0
decode,__domain_balanced__,13,8,transition,12,0.41261574074074076,0.005621693121693121,1.0,2.5541130522099995,0.44580434062292906
decode,__domain_balanced__,13,16,domain_oracle,12,0.48908730158730157,0.03687169312169312,2.0,4.309583842258548,0.0
decode,__domain_balanced__,13,16,linear,12,0.6983920304232805,0.19113756613756613,2.0,2.8925410348959315,0.5646640987408881
decode,__domain_balanced__,13,16,static,12,0.37566137566137564,0.007440476190476189,2.0,5.776161167046884,0.0
decode,__domain_balanced__,13,16,transition,12,0.6019345238095238,0.07886904761904762,2.0,3.4100776092247584,0.3550364479787939
decode,__domain_balanced__,13,32,domain_oracle,12,0.7625661375661376,0.2437169312169312,4.0,5.302743327383621,0.0
decode,__domain_balanced__,13,32,linear,12,0.8804356812169312,0.5180224867724867,4.0,4.551387585124135,0.3843242627567926
decode,__domain_balanced__,13,32,static,12,0.6488508597883598,0.07787698412698413,4.0,6.218100621538156,0.0
decode,__domain_balanced__,13,32,transition,12,0.8155795304232805,0.32622354497354494,4.0,4.930035982764916,0.21840312292909211
decode,__domain_balanced__,14,8,domain_oracle,8,0.2837301587301587,0.00248015873015873,1.0,3.949020797727715,0.0
decode,__domain_balanced__,14,8,linear,8,0.5013330853174603,0.0248015873015873,1.0,2.027960717206448,0.6900472166998012
decode,__domain_balanced__,14,8,static,8,0.20318700396825395,0.0,1.0,6.185579107639314,0.0
decode,__domain_balanced__,14,8,transition,8,0.3850756448412698,0.00744047619047619,1.0,2.681192039850378,0.45144756461232605
decode,__domain_balanced__,14,16,domain_oracle,8,0.4815538194444444,0.031746031746031744,2.0,4.352821506089923,0.0
decode,__domain_balanced__,14,16,linear,8,0.7036830357142857,0.2041170634920635,2.0,2.8601013558155675,0.5839183648111332
decode,__domain_balanced__,14,16,static,8,0.36963665674603174,0.003224206349206349,2.0,5.6778170512851736,0.0
decode,__domain_balanced__,14,16,transition,8,0.5764818948412698,0.0642361111111111,2.0,3.4987080258907945,0.3793489065606362
decode,__domain_balanced__,14,32,domain_oracle,8,0.7620287698412699,0.24503968253968256,4.0,5.310135760712051,0.0
decode,__domain_balanced__,14,32,linear,8,0.8858196924603174,0.5339781746031746,4.0,4.520482761999462,0.3965037897614314
decode,__domain_balanced__,14,32,static,8,0.6459883432539683,0.06646825396825397,4.0,6.209812620446133,0.0
decode,__domain_balanced__,14,32,transition,8,0.8011532738095238,0.2837301587301587,4.0,4.998117889975674,0.2234017768389662
decode,__domain_balanced__,15,8,domain_oracle,4,0.29420882936507936,0.000496031746031746,1.0,3.7583881662303176,0.0
decode,__domain_balanced__,15,8,linear,4,0.4890873015873016,0.0248015873015873,1.0,2.0782435610379935,0.6993041749502982
decode,__domain_balanced__,15,8,static,4,0.20052083333333331,0.0,1.0,5.929422073765487,0.0
decode,__domain_balanced__,15,8,transition,4,0.34802827380952384,0.010912698412698412,1.0,2.9909300102853953,0.4371893638170974
decode,__domain_balanced__,15,16,domain_oracle,4,0.48232886904761907,0.019345238095238096,2.0,4.3257227139561305,0.0
