phase,source_layer,target_layer,delta,n_train,feature_dimension,output_dimension,epochs,final_bce_loss
decode,1,4,3,5995,128,64,30,0.7141275255853082
decode,1,5,4,5995,128,64,30,0.6997871722948362
decode,1,6,5,5995,128,64,30,0.6738264656245858
decode,1,7,6,5995,128,64,30,0.6716953482202335
decode,1,8,7,5995,128,64,30,0.6550974413889263
decode,1,9,8,5995,128,64,30,0.645566078978245
decode,1,10,9,5995,128,64,30,0.6603546362901549
decode,1,11,10,5995,128,64,30,0.6873505150009136
decode,1,12,11,5995,128,64,30,0.7088718124784162
decode,1,13,12,5995,128,64,30,0.7733160461357378
decode,1,14,13,5995,128,64,30,0.7730477370551668
decode,1,15,14,5995,128,64,30,0.8098825089726674
decode,2,3,1,5995,128,64,30,0.6971525984967719
decode,2,4,2,5995,128,64,30,0.6904262449663813
decode,2,5,3,5995,128,64,30,0.675768739904733
decode,2,6,4,5995,128,64,30,0.6520396661619229
decode,2,7,5,5995,128,64,30,0.6575638083938363
decode,2,8,6,5995,128,64,30,0.6467800107173267
decode,2,9,7,5995,128,64,30,0.6422774410625613
decode,2,10,8,5995,128,64,30,0.6636681038007028
decode,2,11,9,5995,128,64,30,0.677154125642339
decode,2,12,10,5995,128,64,30,0.7007587267419912
decode,2,13,11,5995,128,64,30,0.7645869831625276
decode,2,14,12,5995,128,64,30,0.7643442005888436
decode,2,15,13,5995,128,64,30,0.8014743181344764
decode,3,4,1,5995,128,64,30,0.6525920059603388
decode,3,5,2,5995,128,64,30,0.6376856866133421
decode,3,6,3,5995,128,64,30,0.6136640784440188
decode,3,7,4,5995,128,64,30,0.6099932399066514
decode,3,8,5,5995,128,64,30,0.5997466825365125
decode,3,9,6,5995,128,64,30,0.5953448773822355
decode,3,10,7,5995,128,64,30,0.6176613043903608
decode,3,11,8,5995,128,64,30,0.635004726134309
decode,3,12,9,5995,128,64,30,0.6629573315754843
decode,3,13,10,5995,128,64,30,0.7238761288409834
decode,3,14,11,5995,128,64,30,0.7276894730264888
decode,3,15,12,5995,128,64,30,0.769193367991873
decode,4,5,1,5995,128,64,30,0.6274339961548265
decode,4,6,2,5995,128,64,30,0.6049787564711138
decode,4,7,3,5995,128,64,30,0.6057102301500558
decode,4,8,4,5995,128,64,30,0.5909370551912659
decode,4,9,5,5995,128,64,30,0.5927093513515017
decode,4,10,6,5995,128,64,30,0.6201398691005564
decode,4,11,7,5995,128,64,30,0.6366151851549856
decode,4,12,8,5995,128,64,30,0.6588444428308692
decode,4,13,9,5995,128,64,30,0.7184507323067023
