phase,capacity,lookahead,bandwidth_scale,effective_inter_moe_layer_ms,expert_transfer_ms,eligible_waves,stalled_waves,total_demanded_experts,resident_hit_experts,cold_demand_experts,compulsory_miss_experts,capacity_miss_experts,deadline_feasible_cold_experts,late_cold_experts,total_demanded_bytes,resident_hit_bytes,cold_demand_bytes,compulsory_miss_bytes,capacity_miss_bytes,deadline_feasible_demanded_bytes,late_bytes,resident_hit_fraction,deadline_feasible_cold_fraction,late_cold_fraction,reactive_stall_ms,oracle_stall_ms,oracle_stall_reduction,oracle_wave_stall_fraction,all_trace_cold_demand_experts,all_trace_compulsory_miss_experts,all_trace_capacity_miss_experts,all_trace_demanded_experts
decode,16,6,1.0,0.9773803949356079,0.28494399785995483,80120,5227,640960,357852,283108,640,282468,268052,15056,8065143275520,4502820225024,3562323050496,8053063680,3554269986816,3372874727424,189448323072,0.5583062905641538,0.9468188818401458,0.05318111815985419,80669.9253461361,3635.327714562416,0.9549357744045992,0.06523964053919121,464955,1024,463931,1025536
decode,16,9,1.0,0.9773803949356079,0.28494399785995483,56084,64,448672,239293,209379,448,208931,209263,116,5645600292864,3011002761216,2634597531648,5637144576,2628960387072,2633137913856,1459617792,0.5333361564795663,0.9994459807335024,0.0005540192664975953,59661.28932791948,24.825533628463745,0.999583892103102,0.0011411454247200628,464955,1024,463931,1025536
decode,16,12,1.0,0.9773803949356079,0.28494399785995483,32048,0,256384,138689,117695,256,117439,117695,0,3226057310208,1745111482368,1480945827840,3221225472,1477724602368,1480945827840,0,0.5409424925112332,1.0,0.0,33536.483828127384,0.0,1.0,0.0,464955,1024,463931,1025536
decode,16,15,1.0,0.9773803949356079,0.28494399785995483,8012,0,64096,33972,30124,64,30060,30124,0,806514327552,427466686464,379047641088,805306368,378242334720,379047641088,0,0.5300174737893161,1.0,0.0,8583.65299153328,0.0,1.0,0.0,464955,1024,463931,1025536
decode,16,1,2.0,0.9773803949356079,0.14409302708667676,120180,9871,961440,533764,427676,960,426716,415180,12496,12097714913280,6716305440768,5381409472512,12079595520,5369329876992,5224173404160,157236068352,0.5551714095523381,0.9707816197308242,0.029218380269175732,61625.129452303176,686.918210392552,0.9888532776077296,0.08213513063737726,464955,1024,463931,1025536
decode,16,2,2.0,0.9773803949356079,0.14409302708667676,112168,130,897344,506163,391181,896,390285,390998,183,11291200585728,6369004486656,4922196099072,11274289152,4910921809920,4919893426176,2302672896,0.5640679605591613,0.999532185867923,0.0004678141320769669,56366.454428777586,13.108539630309032,0.9997674407630717,0.0011589758219813138,464955,1024,463931,1025536
decode,16,3,2.0,0.9773803949356079,0.14409302708667676,104156,2,833248,473237,360011,832,359179,360007,4,10484686258176,5954699526144,4529986732032,10468982784,4519517749248,4529936400384,50331648,0.5679425573178694,0.9999888892283847,1.1110771615311754e-05,51875.07477448777,0.3249688929803032,0.9999937355484423,1.920196628134721e-05,464955,1024,463931,1025536
decode,16,6,2.0,0.9773803949356079,0.14409302708667676,80120,0,640960,357852,283108,640,282468,283108,0,8065143275520,4502820225024,3562323050496,8053063680,3554269986816,3562323050496,0,0.5583062905641538,1.0,0.0,40793.88871244781,0.0,1.0,0.0,464955,1024,463931,1025536
decode,16,9,2.0,0.9773803949356079,0.14409302708667676,56084,0,448672,239293,209379,448,208931,209379,0,5645600292864,3011002761216,2634597531648,5637144576,2628960387072,2634597531648,0,0.5333361564795663,1.0,0.0,30170.053918377413,0.0,1.0,0.0,464955,1024,463931,1025536
decode,16,12,2.0,0.9773803949356079,0.14409302708667676,32048,0,256384,138689,117695,256,117439,117695,0,3226057310208,1745111482368,1480945827840,3221225472,1477724602368,1480945827840,0,0.5409424925112332,1.0,0.0,16959.02882296344,0.0,1.0,0.0,464955,1024,463931,1025536
decode,16,15,2.0,0.9773803949356079,0.14409302708667676,8012,0,64096,33972,30124,64,30060,30124,0,806514327552,427466686464,379047641088,805306368,378242334720,379047641088,0,0.5300174737893161,1.0,0.0,4340.658347958729,0.0,1.0,0.0,464955,1024,463931,1025536
decode,32,1,0.5,0.9773803949356079,0.566645939406511,120180,56488,961440,753335,208105,960,207145,87514,120591,12097714913280,9479148011520,2618566901760,12079595520,2606487306240,1101180960768,1517385940992,0.783548635380263,0.4205280987962807,0.5794719012037193,117921.8532202393,45130.83255501585,0.6172818580901517,0.47002829089698783,229692,1024,228668,1025536
decode,32,2,0.5,0.9773803949356079,0.566645939406511,112168,30033,897344,711261,186083,896,185187,114117,71966,11291200585728,8949734572032,2341466013696,11274289152,2330191724544,1435924168704,905541844992,0.7926291366521646,0.6132585996571422,0.38674140034285776,105443.17634261578,29450.20682595885,0.7207006859290117,0.26775016047357536,229692,1024,228668,1025536
