capacity_experts_per_layer,lookahead_layers,requested_complete_cold_set_coverage,realized_complete_cold_set_coverage,eligible_cold_waves,incomplete_cold_waves,correlation_block_waves,mean_incomplete_run_waves,max_incomplete_run_waves,requested_predicted_to_useful_amplification,realized_predicted_to_useful_amplification,useful_predicted_objects,false_predicted_objects,predicted_objects,miss_generation,evidence_coverage,evidence_demand
8,6,0.99,0.9899943506371226,79655,797,4,4.005025125628141,8,1.5,1.5,387146,193573,580719,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.99,0.9899943506371226,79655,797,4,4.005025125628141,8,2.0,2.0,387146,387146,774292,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.99,0.9899943506371226,79655,797,4,4.005025125628141,8,4.0,4.0,387146,1161438,1548584,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.99,0.9899943506371226,79655,797,4,4.005025125628141,8,8.0,8.0,387146,2710022,3097168,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.999,0.998995668821794,79655,80,4,4.0,4,1.0,1.0,390710,0,390710,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.999,0.998995668821794,79655,80,4,4.0,4,1.25,1.2500012797215325,390710,97678,488388,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.999,0.998995668821794,79655,80,4,4.0,4,1.5,1.5,390710,195355,586065,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.999,0.998995668821794,79655,80,4,4.0,4,2.0,2.0,390710,390710,781420,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.999,0.998995668821794,79655,80,4,4.0,4,4.0,4.0,390710,1172130,1562840,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,6,0.999,0.998995668821794,79655,80,4,4.0,4,8.0,8.0,390710,2734970,3125680,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,9,0.5,0.5000089694142973,55745,27872,4,7.979387346120813,52,1.0,1.0,142562,0,142562,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,9,0.5,0.5000089694142973,55745,27872,4,7.979387346120813,52,1.25,1.24999649275403,142562,35640,178202,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,9,0.5,0.5000089694142973,55745,27872,4,7.979387346120813,52,1.5,1.5,142562,71281,213843,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,9,0.5,0.5000089694142973,55745,27872,4,7.979387346120813,52,2.0,2.0,142562,142562,285124,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,9,0.5,0.5000089694142973,55745,27872,4,7.979387346120813,52,4.0,4.0,142562,427686,570248,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,9,0.5,0.5000089694142973,55745,27872,4,7.979387346120813,52,8.0,8.0,142562,997934,1140496,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,9,0.75,0.7500044847071486,55745,13936,4,5.321114929362352,24,1.0,1.0,213939,0,213939,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,9,0.75,0.7500044847071486,55745,13936,4,5.321114929362352,24,1.25,1.2500011685573926,213939,53485,267424,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,9,0.75,0.7500044847071486,55745,13936,4,5.321114929362352,24,1.5,1.500002337114785,213939,106970,320909,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,9,0.75,0.7500044847071486,55745,13936,4,5.321114929362352,24,2.0,2.0,213939,213939,427878,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,9,0.75,0.7500044847071486,55745,13936,4,5.321114929362352,24,4.0,4.0,213939,641817,855756,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,9,0.75,0.7500044847071486,55745,13936,4,5.321114929362352,24,8.0,8.0,213939,1497573,1711512,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,9,0.9,0.9000089694142972,55745,5574,4,4.427323272438443,12,1.0,1.0,255991,0,255991,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
