track,capacity_experts_per_layer,lookahead_layers,bandwidth_gbps,coverage,amplification,raw_cold_service_headroom,effective_headroom_after_amplification,first_order_stall_reduction,oracle_recovery,category,evidence_demand,evidence_predictor,evidence_hardware
AX2,8,1,32.0,0.95,4.0,0.3334473923854642,0.08336184809636606,0.07919375569154775,0.2375,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.95,8.0,0.3334473923854642,0.04168092404818303,0.03959687784577388,0.11875,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.99,1.0,0.3334473923854642,0.3334473923854642,0.33011291846160956,0.9899999999999999,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.99,1.25,0.3334473923854642,0.2667579139083714,0.26409033476928767,0.792,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.99,1.5,0.3334473923854642,0.2222982615903095,0.2200752789744064,0.66,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.99,2.0,0.3334473923854642,0.1667236961927321,0.16505645923080478,0.49499999999999994,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.99,4.0,0.3334473923854642,0.08336184809636606,0.08252822961540239,0.24749999999999997,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.99,8.0,0.3334473923854642,0.04168092404818303,0.041264114807701195,0.12374999999999999,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.999,1.0,0.3334473923854642,0.3334473923854642,0.3331139449930788,0.9990000000000001,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.999,1.25,0.3334473923854642,0.2667579139083714,0.26649115599446305,0.7992000000000001,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.999,1.5,0.3334473923854642,0.2222982615903095,0.22207596332871918,0.666,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.999,2.0,0.3334473923854642,0.1667236961927321,0.1665569724965394,0.49950000000000006,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.999,4.0,0.3334473923854642,0.08336184809636606,0.0832784862482697,0.24975000000000003,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.999,8.0,0.3334473923854642,0.04168092404818303,0.04163924312413485,0.12487500000000001,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.5,1.0,0.6668947847709285,0.6668947847709285,0.3334473923854642,0.5,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.5,1.25,0.6668947847709285,0.5335158278167428,0.2667579139083714,0.4,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.5,1.5,0.6668947847709285,0.444596523180619,0.2222982615903095,0.33333333333333337,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.5,2.0,0.6668947847709285,0.3334473923854642,0.1667236961927321,0.25,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.5,4.0,0.6668947847709285,0.1667236961927321,0.08336184809636606,0.125,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.5,8.0,0.6668947847709285,0.08336184809636606,0.04168092404818303,0.0625,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.75,1.0,0.6668947847709285,0.6668947847709285,0.5001710885781964,0.75,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.75,1.25,0.6668947847709285,0.5335158278167428,0.4001368708625571,0.6000000000000001,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.75,1.5,0.6668947847709285,0.444596523180619,0.3334473923854642,0.5,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.75,2.0,0.6668947847709285,0.3334473923854642,0.2500855442890982,0.375,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.75,4.0,0.6668947847709285,0.1667236961927321,0.1250427721445491,0.1875,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.75,8.0,0.6668947847709285,0.08336184809636606,0.06252138607227455,0.09375,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.9,1.0,0.6668947847709285,0.6668947847709285,0.6002053062938356,0.9,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.9,1.25,0.6668947847709285,0.5335158278167428,0.4801642450350685,0.72,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.9,1.5,0.6668947847709285,0.444596523180619,0.4001368708625571,0.6000000000000001,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.9,2.0,0.6668947847709285,0.3334473923854642,0.3001026531469178,0.45,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.9,4.0,0.6668947847709285,0.1667236961927321,0.1500513265734589,0.225,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.9,8.0,0.6668947847709285,0.08336184809636606,0.07502566328672945,0.1125,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.95,1.0,0.6668947847709285,0.6668947847709285,0.633550045532382,0.95,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.95,1.25,0.6668947847709285,0.5335158278167428,0.5068400364259056,0.7599999999999999,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.95,1.5,0.6668947847709285,0.444596523180619,0.422366697021588,0.6333333333333333,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.95,2.0,0.6668947847709285,0.3334473923854642,0.316775022766191,0.475,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.95,4.0,0.6668947847709285,0.1667236961927321,0.1583875113830955,0.2375,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.95,8.0,0.6668947847709285,0.08336184809636606,0.07919375569154775,0.11875,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.99,1.0,0.6668947847709285,0.6668947847709285,0.6602258369232191,0.9899999999999999,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.99,1.25,0.6668947847709285,0.5335158278167428,0.5281806695385753,0.792,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.99,1.5,0.6668947847709285,0.444596523180619,0.4401505579488128,0.66,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.99,2.0,0.6668947847709285,0.3334473923854642,0.33011291846160956,0.49499999999999994,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.99,4.0,0.6668947847709285,0.1667236961927321,0.16505645923080478,0.24749999999999997,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.99,8.0,0.6668947847709285,0.08336184809636606,0.08252822961540239,0.12374999999999999,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.999,1.0,0.6668947847709285,0.6668947847709285,0.6662278899861576,0.9990000000000001,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.999,1.25,0.6668947847709285,0.5335158278167428,0.5329823119889261,0.7992000000000001,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.999,1.5,0.6668947847709285,0.444596523180619,0.44415192665743836,0.666,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.999,2.0,0.6668947847709285,0.3334473923854642,0.3331139449930788,0.49950000000000006,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.999,4.0,0.6668947847709285,0.1667236961927321,0.1665569724965394,0.24975000000000003,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,64.0,0.999,8.0,0.6668947847709285,0.08336184809636606,0.0832784862482697,0.12487500000000001,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.5,1.0,1.333789569541857,1.333789569541857,0.5,0.5,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.5,1.25,1.333789569541857,1.0670316556334856,0.5,0.5,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.5,1.5,1.333789569541857,0.889193046361238,0.444596523180619,0.444596523180619,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.5,2.0,1.333789569541857,0.6668947847709285,0.3334473923854642,0.3334473923854642,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.5,4.0,1.333789569541857,0.3334473923854642,0.1667236961927321,0.1667236961927321,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.5,8.0,1.333789569541857,0.1667236961927321,0.08336184809636606,0.08336184809636606,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.75,1.0,1.333789569541857,1.333789569541857,0.75,0.75,profitable_tail_risk,trace_derived,assumed,hypothetical
